density,radius,drag_coefficient,mass,h,alpha,v0,x_max
0.5,0.5,0.5,0.5,0.5,0.5,0.5,17.42915332618266
0.75,0.25,0.75,0.25,0.75,0.25,0.75,17.425067720639852
0.25,0.75,0.25,0.75,0.25,0.75,0.25,17.49397658386575
0.375,0.375,0.625,0.125,0.875,0.875,0.125,15.818615263092532
0.875,0.875,0.125,0.625,0.375,0.375,0.625,15.862533022997523
0.625,0.125,0.375,0.375,0.125,0.625,0.875,19.531073468678716
0.125,0.625,0.875,0.875,0.625,0.125,0.375,18.510965226982808
0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,0.0625,20.161526848734113
0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,0.5625,11.429745293756586
0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,0.8125,20.814701777536627
0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,0.3125,17.217093948924287
0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,0.1875,17.937135033020663
0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,0.6875,14.25401895410811
0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,0.9375,19.880168287600767
0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,0.4375,16.09299702130005
0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,0.53125,18.052474803935485
0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,0.03125,14.949627567566834
0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,0.28125,18.83627323996899
0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,0.78125,16.28814014967961
0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,0.65625,19.26924543872905
0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,0.15625,15.409987666881385
0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,0.40625,13.629982629567326
0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,0.90625,17.259691282491815
0.15625,0.15625,0.53125,0.84375,0.84375,0.40625,0.59375,22.287268502235886
0.65625,0.65625,0.03125,0.34375,0.34375,0.90625,0.09375,15.755808030557981
0.90625,0.40625,0.28125,0.59375,0.09375,0.15625,0.34375,18.325644184660398
0.40625,0.90625,0.78125,0.09375,0.59375,0.65625,0.84375,10.637356943372126
0.28125,0.28125,0.15625,0.96875,0.21875,0.53125,0.71875,22.678604495261315
0.78125,0.78125,0.65625,0.46875,0.71875,0.03125,0.21875,15.262866976571447
0.53125,0.03125,0.90625,0.71875,0.96875,0.78125,0.46875,19.27504061404968
0.03125,0.53125,0.40625,0.21875,0.46875,0.28125,0.96875,19.06963382024305
0.046875,0.265625,0.609375,0.578125,0.703125,0.640625,0.265625,19.7765885285664
0.546875,0.765625,0.109375,0.078125,0.203125,0.140625,0.765625,16.4975388287124
0.796875,0.015625,0.359375,0.828125,0.453125,0.890625,0.515625,20.49147707641518
0.296875,0.515625,0.859375,0.328125,0.953125,0.390625,0.015625,16.18018096159185
0.421875,0.140625,0.234375,0.703125,0.328125,0.265625,0.390625,21.696569949790252
0.921875,0.640625,0.734375,0.203125,0.828125,0.765625,0.890625,10.386635478468827
0.671875,0.390625,0.984375,0.953125,0.578125,0.015625,0.640625,18.741672577967908
0.171875,0.890625,0.484375,0.453125,0.078125,0.515625,0.140625,15.806260897982805
0.234375,0.078125,0.796875,0.140625,0.140625,0.578125,0.328125,18.679638396050503
0.734375,0.578125,0.296875,0.640625,0.640625,0.078125,0.828125,18.597834950150794
0.984375,0.328125,0.046875,0.390625,0.890625,0.828125,0.578125,17.252909282649803
0.484375,0.828125,0.546875,0.890625,0.390625,0.328125,0.078125,16.518738237183552
0.359375,0.453125,0.421875,0.015625,0.765625,0.453125,0.453125,16.889129526320115
0.859375,0.953125,0.921875,0.515625,0.265625,0.953125,0.953125,5.810572961749954
0.609375,0.203125,0.671875,0.265625,0.015625,0.203125,0.703125,18.65225252072933
0.109375,0.703125,0.171875,0.765625,0.515625,0.703125,0.203125,18.589582663204105
0.078125,0.234375,0.265625,0.984375,0.984375,0.984375,0.796875,22.380966457443805
0.578125,0.734375,0.765625,0.484375,0.484375,0.484375,0.296875,14.816017682096161
0.828125,0.484375,0.515625,0.734375,0.234375,0.734375,0.046875,16.32192834424785
0.328125,0.984375,0.015625,0.234375,0.734375,0.234375,0.546875,16.470484498729267
0.453125,0.359375,0.890625,0.859375,0.109375,0.109375,0.921875,19.792970572379325
0.953125,0.859375,0.390625,0.359375,0.609375,0.609375,0.421875,13.094848121821647
0.703125,0.109375,0.140625,0.609375,0.859375,0.359375,0.171875,20.42653650111797
0.203125,0.609375,0.640625,0.109375,0.359375,0.859375,0.671875,14.187922976254205
0.140625,0.421875,0.078125,0.296875,0.421875,0.796875,0.859375,19.308692537528216
0.640625,0.921875,0.578125,0.796875,0.921875,0.296875,0.359375,15.54785308586978
0.890625,0.171875,0.828125,0.046875,0.671875,0.546875,0.109375,15.57298400288639
0.390625,0.671875,0.328125,0.546875,0.171875,0.046875,0.609375,18.552074284796042
0.265625,0.046875,0.703125,0.421875,0.546875,0.171875,0.984375,21.88851253129561
0.765625,0.546875,0.203125,0.921875,0.046875,0.671875,0.484375,18.163259481355805
0.515625,0.296875,0.453125,0.171875,0.296875,0.421875,0.234375,17.689221887479405
0.015625,0.796875,0.953125,0.671875,0.796875,0.921875,0.734375,14.192607547055392
0.0234375,0.3984375,0.4453125,0.8046875,0.2109375,0.8671875,0.3984375,19.941398967838982
0.5234375,0.8984375,0.9453125,0.3046875,0.7109375,0.3671875,0.8984375,12.166960335484973
0.7734375,0.1484375,0.6953125,0.5546875,0.9609375,0.6171875,0.6484375,18.247252758904256
0.2734375,0.6484375,0.1953125,0.0546875,0.4609375,0.1171875,0.1484375,17.137660278129392
