density,radius,drag_coefficient,mass,h,alpha,v0,x_max
0.5,0.5,0.5,0.5,0.5,0.5,0.5,17.842356490351
0.75,0.25,0.75,0.25,0.75,0.25,0.75,17.925511488399817
0.25,0.75,0.25,0.75,0.25,0.75,0.25,17.810130943957436
0.375,0.375,0.625,0.125,0.875,0.875,0.125,16.21269886586169
0.875,0.875,0.125,0.625,0.375,0.375,0.625,16.446255913305066
0.625,0.125,0.375,0.375,0.125,0.625,0.875,20.040463052752234
0.125,0.625,0.875,0.875,0.625,0.125,0.375,18.68517185999253
0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,0.0625,20.079784606206843
0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,0.5625,12.482740333676288
0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,0.8125,21.154416488633945
0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,0.3125,17.621142135730278
0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,0.1875,18.198193552413684
0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,0.6875,15.001989618169052
0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,0.9375,20.385648964639884
0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,0.4375,16.467607094427926
0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,0.53125,18.39753509607676
0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,0.03125,15.349157762859003
0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,0.28125,18.934582816874833
0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,0.78125,16.982289001552772
0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,0.65625,19.685521140825433
0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,0.15625,15.715160991861099
0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,0.40625,14.403745107045122
0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,0.90625,17.927459830533564
0.15625,0.15625,0.53125,0.84375,0.84375,0.40625,0.59375,22.399641343290906
0.65625,0.65625,0.03125,0.34375,0.34375,0.90625,0.09375,16.139314387377524
0.90625,0.40625,0.28125,0.59375,0.09375,0.15625,0.34375,18.50272585100766
0.40625,0.90625,0.78125,0.09375,0.59375,0.65625,0.84375,11.98298569789613
0.28125,0.28125,0.15625,0.96875,0.21875,0.53125,0.71875,22.86463673550285
0.78125,0.78125,0.65625,0.46875,0.71875,0.03125,0.21875,15.579832186134373
0.53125,0.03125,0.90625,0.71875,0.96875,0.78125,0.46875,19.599232181125192
0.03125,0.53125,0.40625,0.21875,0.46875,0.28125,0.96875,19.586958334221762
0.046875,0.265625,0.609375,0.578125,0.703125,0.640625,0.265625,19.920132130071718
0.546875,0.765625,0.109375,0.078125,0.203125,0.140625,0.765625,17.0558325893994
0.796875,0.015625,0.359375,0.828125,0.453125,0.890625,0.515625,20.776959632548756
0.296875,0.515625,0.859375,0.328125,0.953125,0.390625,0.015625,16.391122518518202
0.421875,0.140625,0.234375,0.703125,0.328125,0.265625,0.390625,21.702844783730757
0.921875,0.640625,0.734375,0.203125,0.828125,0.765625,0.890625,11.824081918462122
0.671875,0.390625,0.984375,0.953125,0.578125,0.015625,0.640625,19.02162722911936
0.171875,0.890625,0.484375,0.453125,0.078125,0.515625,0.140625,16.13811765545327
0.234375,0.078125,0.796875,0.140625,0.140625,0.578125,0.328125,18.915610518361728
0.734375,0.578125,0.296875,0.640625,0.640625,0.078125,0.828125,19.013720361321344
0.984375,0.328125,0.046875,0.390625,0.890625,0.828125,0.578125,17.799107200846315
0.484375,0.828125,0.546875,0.890625,0.390625,0.328125,0.078125,16.722673898098197
0.359375,0.453125,0.421875,0.015625,0.765625,0.453125,0.453125,17.30796331280489
0.859375,0.953125,0.921875,0.515625,0.265625,0.953125,0.953125,8.084102100044792
0.609375,0.203125,0.671875,0.265625,0.015625,0.203125,0.703125,19.020516372398486
0.109375,0.703125,0.171875,0.765625,0.515625,0.703125,0.203125,18.78662710032537
0.078125,0.234375,0.265625,0.984375,0.984375,0.984375,0.796875,22.734903799645128
0.578125,0.734375,0.765625,0.484375,0.484375,0.484375,0.296875,15.316123718180133
0.828125,0.484375,0.515625,0.734375,0.234375,0.734375,0.046875,16.599401585318073
0.328125,0.984375,0.015625,0.234375,0.734375,0.234375,0.546875,16.927297627448844
0.453125,0.359375,0.890625,0.859375,0.109375,0.109375,0.921875,20.176599659256144
0.953125,0.859375,0.390625,0.359375,0.609375,0.609375,0.421875,13.850876696672282
0.703125,0.109375,0.140625,0.609375,0.859375,0.359375,0.171875,20.41962440458412
0.203125,0.609375,0.640625,0.109375,0.359375,0.859375,0.671875,15.061870058612836
0.140625,0.421875,0.078125,0.296875,0.421875,0.796875,0.859375,19.865895280693415
0.640625,0.921875,0.578125,0.796875,0.921875,0.296875,0.359375,15.978942238892037
0.890625,0.171875,0.828125,0.046875,0.671875,0.546875,0.109375,15.912916598981433
0.390625,0.671875,0.328125,0.546875,0.171875,0.046875,0.609375,18.835502398723015
0.265625,0.046875,0.703125,0.421875,0.546875,0.171875,0.984375,22.185763429549404
0.765625,0.546875,0.203125,0.921875,0.046875,0.671875,0.484375,18.55138603996343
