density,radius,drag_coefficient,mass,h,alpha,v0,x_max
0.5,0.5,0.5,0.5,0.5,0.5,0.5,16.734875827069853
0.75,0.25,0.75,0.25,0.75,0.25,0.75,16.575319510995048
0.25,0.75,0.25,0.75,0.25,0.75,0.25,16.96544143688002
0.375,0.375,0.625,0.125,0.875,0.875,0.125,15.18411130058206
0.875,0.875,0.125,0.625,0.375,0.375,0.625,14.889283671221111
0.625,0.125,0.375,0.375,0.125,0.625,0.875,18.742183596471676
0.125,0.625,0.875,0.875,0.625,0.125,0.375,18.151692981323013
0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,0.0625,20.145020671791457
0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,0.5625,9.680223468515802
0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,0.8125,20.254050320583172
0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,0.3125,16.585176839813304
0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,0.1875,17.490291029606237
0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,0.6875,12.978392782587699
0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,0.9375,19.094232197868255
0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,0.4375,15.429669166974776
0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,0.53125,17.469077113293825
0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,0.03125,14.302029404710016
0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,0.28125,18.566030608527214
0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,0.78125,15.163125855070904
0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,0.65625,18.584580824182705
0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,0.15625,14.834079660490762
0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,0.40625,12.408808929245438
0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,0.90625,16.189726469036493
0.15625,0.15625,0.53125,0.84375,0.84375,0.40625,0.59375,22.00753172313983
0.65625,0.65625,0.03125,0.34375,0.34375,0.90625,0.09375,15.140699120221983
0.90625,0.40625,0.28125,0.59375,0.09375,0.15625,0.34375,17.963857377766644
0.40625,0.90625,0.78125,0.09375,0.59375,0.65625,0.84375,8.340627500447278
0.28125,0.28125,0.15625,0.96875,0.21875,0.53125,0.71875,22.33266755895334
0.78125,0.78125,0.65625,0.46875,0.71875,0.03125,0.21875,14.672303250013801
0.53125,0.03125,0.90625,0.71875,0.96875,0.78125,0.46875,18.75155224568257
0.03125,0.53125,0.40625,0.21875,0.46875,0.28125,0.96875,18.239635456454444
0.046875,0.265625,0.609375,0.578125,0.703125,0.640625,0.265625,19.48906513813788
0.546875,0.765625,0.109375,0.078125,0.203125,0.140625,0.765625,15.570221617119902
0.796875,0.015625,0.359375,0.828125,0.453125,0.890625,0.515625,19.998273715323364
0.296875,0.515625,0.859375,0.328125,0.953125,0.390625,0.015625,15.768803070779168
0.421875,0.140625,0.234375,0.703125,0.328125,0.265625,0.390625,21.555464321731787
0.921875,0.640625,0.734375,0.203125,0.828125,0.765625,0.890625,7.91456939789149
0.671875,0.390625,0.984375,0.953125,0.578125,0.015625,0.640625,18.207892862473066
0.171875,0.890625,0.484375,0.453125,0.078125,0.515625,0.140625,15.231845401490252
0.234375,0.078125,0.796875,0.140625,0.140625,0.578125,0.328125,18.26284145349958
0.734375,0.578125,0.296875,0.640625,0.640625,0.078125,0.828125,17.89575635758922
0.984375,0.328125,0.046875,0.390625,0.890625,0.828125,0.578125,16.39296621484162
0.484375,0.828125,0.546875,0.890625,0.390625,0.328125,0.078125,16.111017431859402
0.359375,0.453125,0.421875,0.015625,0.765625,0.453125,0.453125,16.201675521165583
0.859375,0.953125,0.921875,0.515625,0.265625,0.953125,0.953125,1.4839532122502912
0.609375,0.203125,0.671875,0.265625,0.015625,0.203125,0.703125,18.028444951849494
0.109375,0.703125,0.171875,0.765625,0.515625,0.703125,0.203125,18.231135998042188
0.078125,0.234375,0.265625,0.984375,0.984375,0.984375,0.796875,21.831576061543434
0.578125,0.734375,0.765625,0.484375,0.484375,0.484375,0.296875,13.985510669121911
0.828125,0.484375,0.515625,0.734375,0.234375,0.734375,0.046875,15.82307353480049
0.328125,0.984375,0.015625,0.234375,0.734375,0.234375,0.546875,15.702827416396488
0.453125,0.359375,0.890625,0.859375,0.109375,0.109375,0.921875,19.11524769974367
0.953125,0.859375,0.390625,0.359375,0.609375,0.609375,0.421875,11.826033132820443
0.703125,0.109375,0.140625,0.609375,0.859375,0.359375,0.171875,20.325903502704556
0.203125,0.609375,0.640625,0.109375,0.359375,0.859375,0.671875,12.830909857719977
0.140625,0.421875,0.078125,0.296875,0.421875,0.796875,0.859375,18.444001477678185
0.640625,0.921875,0.578125,0.796875,0.921875,0.296875,0.359375,14.790891507802732
0.890625,0.171875,0.828125,0.046875,0.671875,0.546875,0.109375,14.984884776467863
0.390625,0.671875,0.328125,0.546875,0.171875,0.046875,0.609375,18.01852654919831
0.265625,0.046875,0.703125,0.421875,0.546875,0.171875,0.984375,21.37320890294701
0.765625,0.546875,0.203125,0.921875,0.046875,0.671875,0.484375,17.535767349736027
0.515625,0.296875,0.453125,0.171875,0.296875,0.421875,0.234375,17.262085050887787
0.015625,0.796875,0.953125,0.671875,0.796875,0.921875,0.734375,12.73391644940197
0.0234375,0.3984375,0.4453125,0.8046875,0.2109375,0.8671875,0.3984375,19.522317746467685
0.5234375,0.8984375,0.9453125,0.3046875,0.7109375,0.3671875,0.8984375,10.222669255723076
0.7734375,0.1484375,0.6953125,0.5546875,0.9609375,0.6171875,0.6484375,17.501658656526114
0.2734375,0.6484375,0.1953125,0.0546875,0.4609375,0.1171875,0.1484375,16.79775053468612
0.3984375,0.0234375,0.8203125,0.9296875,0.8359375,0.2421875,0.2734375,21.05098990298841
0.8984375,0.5234375,0.3203125,0.4296875,0.3359375,0.7421875,0.7734375,13.866546360698859
0.6484375,0.2734375,0.0703125,0.6796875,0.0859375,0.4921875,0.5234375,20.200508830488104
0.1484375,0.7734375,0.5703125,0.1796875,0.5859375,0.9921875,0.0234375,13.35384359778111
0.2109375,0.2109375,0.1328125,0.4921875,0.6484375,0.9296875,0.4609375,20.133400586504955
0.7109375,0.7109375,0.6328125,0.9921875,0.1484375,0.4296875,0.9609375,15.273441179081544
0.9609375,0.4609375,0.8828125,0.2421875,0.3984375,0.6796875,0.7109375,11.09293280075154
0.4609375,0.9609375,0.3828125,0.7421875,0.8984375,0.1796875,0.2109375,15.91551447858721
0.3359375,0.3359375,0.5078125,0.3671875,0.2734375,0.0546875,0.3359375,18.845195027513764
0.8359375,0.8359375,0.0078125,0.8671875,0.7734375,0.5546875,0.8359375,15.686951190892781
0.5859375,0.0859375,0.2578125,0.1171875,0.5234375,0.3046875,0.5859375,19.618701523043942
0.0859375,0.5859375,0.7578125,0.6171875,0.0234375,0.8046875,0.0859375,16.308408540381674
0.1171875,0.1171875,0.6640625,0.6484375,0.4921875,0.5234375,0.9296875,21.35176727710015
0.6171875,0.6171875,0.1640625,0.1484375,0.9921875,0.0234375,0.4296875,16.780938663825623
0.8671875,0.3671875,0.4140625,0.8984375,0.7421875,0.7734375,0.1796875,17.277925608167504
0.3671875,0.8671875,0.9140625,0.3984375,0.2421875,0.2734375,0.6796875,13.203026862967073
0.4921875,0.4921875,0.0390625,0.5234375,0.6171875,0.3984375,0.8046875,19.094170507460955
0.9921875,0.9921875,0.5390625,0.0234375,0.1171875,0.8984375,0.3046875,6.841665971968959
0.7421875,0.2421875,0.7890625,0.7734375,0.3671875,0.1484375,0.0546875,17.99390915889251
0.2421875,0.7421875,0.2890625,0.2734375,0.8671875,0.6484375,0.5546875,15.25768533860705
0.1796875,0.3046875,0.9765625,0.0859375,0.9296875,0.7109375,0.9921875,14.038633827831486
0.6796875,0.8046875,0.4765625,0.5859375,0.4296875,0.2109375,0.4921875,15.27927868491788
0.9296875,0.0546875,0.2265625,0.3359375,0.1796875,0.9609375,0.2421875,17.624554968370447
0.4296875,0.5546875,0.7265625,0.8359375,0.6796875,0.4609375,0.7421875,17.004281308704055
0.3046875,0.1796875,0.3515625,0.2109375,0.0546875,0.3359375,0.8671875,20.056786944237803
0.8046875,0.6796875,0.8515625,0.7109375,0.5546875,0.8359375,0.3671875,12.466033874030948
0.5546875,0.4296875,0.6015625,0.4609375,0.8046875,0.0859375,0.1171875,17.269302796352278
0.0546875,0.9296875,0.1015625,0.9609375,0.3046875,0.5859375,0.6171875,18.35389034559505
0.0390625,0.1328125,0.9296875,0.3515625,0.5078125,0.4765625,0.1328125,18.82181807093454
0.5390625,0.6328125,0.4296875,0.8515625,0.0078125,0.9765625,0.6328125,14.990217904183114
0.7890625,0.3828125,0.1796875,0.1015625,0.2578125,0.2265625,0.8828125,17.001002308221153
0.2890625,0.8828125,0.6796875,0.6015625,0.7578125,0.7265625,0.3828125,13.675987818654932
0.4140625,0.2578125,0.3046875,0.4765625,0.3828125,0.6015625,0.0078125,18.615390787485254
0.9140625,0.7578125,0.8046875,0.9765625,0.8828125,0.1015625,0.5078125,15.31346547756034
0.6640625,0.0078125,0.5546875,0.2265625,0.6328125,0.8515625,0.7578125,17.300659250898857
0.1640625,0.5078125,0.0546875,0.7265625,0.1328125,0.3515625,0.2578125,20.279301375486007
0.2265625,0.4453125,0.7421875,0.9140625,0.0703125,0.2890625,0.1953125,18.842030167246136
0.7265625,0.9453125,0.2421875,0.4140625,0.5703125,0.7890625,0.6953125,10.919929884689848
0.9765625,0.1953125,0.4921875,0.6640625,0.8203125,0.0390625,0.9453125,19.472582259053212
0.4765625,0.6953125,0.9921875,0.1640625,0.3203125,0.5390625,0.4453125,12.065183494852606
0.3515625,0.0703125,0.1171875,0.7890625,0.9453125,0.6640625,0.0703125,21.50424881049813
0.8515625,0.5703125,0.6171875,0.2890625,0.4453125,0.1640625,0.5703125,14.83478179758103
0.6015625,0.3203125,0.8671875,0.5390625,0.1953125,0.9140625,0.8203125,13.951324077424825
0.1015625,0.8203125,0.3671875,0.0390625,0.6953125,0.4140625,0.3203125,15.088970717508198
0.0703125,0.3515625,0.2109375,0.1953125,0.7890625,0.1328125,0.6640625,20.449101082969698
0.5703125,0.8515625,0.7109375,0.6953125,0.2890625,0.6328125,0.1640625,13.77832196923421
0.8203125,0.1015625,0.9609375,0.4453125,0.0390625,0.3828125,0.4140625,17.191973298131867
0.3203125,0.6015625,0.4609375,0.9453125,0.5390625,0.8828125,0.9140625,16.382613215349675
0.4453125,0.2265625,0.5859375,0.0703125,0.1640625,0.7578125,0.5390625,16.082528486025346
0.9453125,0.7265625,0.0859375,0.5703125,0.6640625,0.2578125,0.0390625,15.984533974858628
0.6953125,0.4765625,0.3359375,0.3203125,0.9140625,0.5078125,0.2890625,16.17795204641204
0.1953125,0.9765625,0.8359375,0.8203125,0.4140625,0.0078125,0.7890625,15.966366853435503
0.1328125,0.0390625,0.3984375,0.5078125,0.3515625,0.0703125,0.7265625,23.165840141242153
0.6328125,0.5390625,0.8984375,0.0078125,0.8515625,0.5703125,0.2265625,12.661341293772708
0.8828125,0.2890625,0.6484375,0.7578125,0.6015625,0.3203125,0.4765625,17.872896367878383
0.3828125,0.7890625,0.1484375,0.2578125,0.1015625,0.8203125,0.9765625,12.453419502213631
0.2578125,0.4140625,0.7734375,0.6328125,0.7265625,0.9453125,0.6015625,16.003513233404284
0.7578125,0.9140625,0.2734375,0.1328125,0.2265625,0.4453125,0.1015625,13.031703771997789
0.5078125,0.1640625,0.0234375,0.8828125,0.4765625,0.6953125,0.3515625,21.612114440597693
0.0078125,0.6640625,0.5234375,0.3828125,0.9765625,0.1953125,0.8515625,17.837509108545724
0.01171875,0.33203125,0.78515625,0.94140625,0.46484375,0.41796875,0.46484375,20.51093965890668
0.51171875,0.83203125,0.28515625,0.44140625,0.96484375,0.91796875,0.96484375,10.612555694362847
0.76171875,0.08203125,0.03515625,0.69140625,0.71484375,0.16796875,0.71484375,22.431764036593112
0.26171875,0.58203125,0.53515625,0.19140625,0.21484375,0.66796875,0.21484375,15.357911219040941
0.38671875,0.20703125,0.41015625,0.81640625,0.58984375,0.54296875,0.33984375,20.443928909295227
0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,12.788341661885953
0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,14.87201370567899
0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,15.26820643397034
0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,20.40960927967918
0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,16.492238318282432
0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,16.756751095031277
0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,13.721832655944135
0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,18.022945250636823
0.82421875,0.89453125,0.72265625,0.87890625,0.52734375,0.23046875,0.77734375,13.793687647284216
0.57421875,0.14453125,0.97265625,0.12890625,0.77734375,0.98046875,0.52734375,13.90713322850139
0.07421875,0.64453125,0.47265625,0.62890625,0.27734375,0.48046875,0.02734375,17.555900924240934
0.10546875,0.17578125,0.06640625,0.59765625,0.24609375,0.19921875,0.99609375,24.16049412295992
0.60546875,0.67578125,0.56640625,0.09765625,0.74609375,0.69921875,0.49609375,12.117580570180097
0.85546875,0.42578125,0.81640625,0.84765625,0.99609375,0.44921875,0.24609375,16.308174462285837
0.35546875,0.92578125,0.31640625,0.34765625,0.49609375,0.94921875,0.74609375,10.839394416311206
0.48046875,0.30078125,0.69140625,0.72265625,0.87109375,0.82421875,0.87109375,16.820326138292046
0.98046875,0.80078125,0.19140625,0.22265625,0.37109375,0.32421875,0.37109375,13.751588906773787
0.73046875,0.05078125,0.44140625,0.97265625,0.12109375,0.57421875,0.12109375,20.258736127509163
